timestamp	source_workload	destination_workload	request_protocol	response_code	grpc_response_status	response_flags	reporter	node	total_request	istio_request_bytes_sum	istio_request_duration_milliseconds_sum	class
2025-02-06 09:06:00	frontend	adservice	grpc	200	0	-0	destination	node4	512622	61248784	1060032.75	1
2025-02-06 09:06:00	frontend	cartservice	grpc	200	0	-0	destination	node1	801504	116627685	4352866.6	1
2025-02-06 09:06:00	frontend	shippingservice	grpc	0		DR	destination	node2	1	135	0	0
2025-02-06 09:06:00	frontend	currencyservice	grpc	200	0	-0	destination	node2	2607868	339761485	10641421.15	1
2025-02-06 09:06:00	frontend	currencyservice	grpc	0		DR	destination	node2	8	1660	49.55	0
2025-02-06 09:06:00	loadgenerator	frontend	http	200		DC	destination	node3	3	3150	8050	0
2025-02-06 09:06:00	frontend	checkoutservice	grpc	200	13	-0	destination	node4	233	61595	91516	0
2025-02-06 09:06:00	loadgenerator	frontend	http	500		-0	destination	node3	812	953600	727932.95	0
2025-02-06 09:06:00	frontend	currencyservice	grpc	200	14	UC	destination	node2	27	2965	138069	0
2025-02-06 09:06:00	checkoutservice	shippingservice	grpc	200	0	-0	destination	node2	64196	13681280	79292.35	1
2025-02-06 09:06:00	checkoutservice	paymentservice	grpc	200	2	UC	destination	node5	2	270	3205	0
2025-02-06 09:06:00	frontend	recommendationservice	grpc	200	0	-0	destination	node1	640352	112904435	7134863.35	1
2025-02-06 09:06:00	checkoutservice	currencyservice	grpc	200	14	UF	destination	node2	14	1330	3.15	0
2025-02-06 09:06:00	frontend	currencyservice	grpc	200	14	UF	destination	node2	152	12849	39.85	0
2025-02-06 09:06:00	recommendationservice	productcatalogservice	grpc	200	0	-0	destination	node5	640366	77852324.5	783973.2	1
2025-02-06 09:06:00	frontend	recommendationservice	grpc	0		DR	destination	node1	11	1815	16.65	0
2025-02-06 09:06:00	frontend	checkoutservice	grpc	200	0	-0	destination	node4	31995	8559425	2753694	1
2025-02-06 09:06:00	checkoutservice	cartservice	grpc	200	0	-0	destination	node1	64223	9312905	328240.85	1
